Unidad Territorial,año,mes,indicador
UTE1 ,2020,10,0.71226934
UTE1 ,2020,11,0.64167362
UTE1 ,2020,12,0.82601484
UTE1 ,2021,1,0.98836142
UTE1 ,2021,2,0.98366747
UTE1 ,2021,3,0.81955192
UTE1 ,2021,4,0.64316624
UTE1 ,2021,5,0.70531522
UTE1 ,2021,6,0.78919497
UTE1 ,2021,7,0.84998422
UTE1 ,2021,8,0.71181546
UTE1 ,2021,9,0.63393494
UTE2 ,2020,10,0.66904056
UTE2 ,2020,11,0.532536
UTE2 ,2020,12,0.8452266
UTE2 ,2021,1,0.87371644
UTE2 ,2021,2,0.89294123
UTE2 ,2021,3,0.71024953
UTE2 ,2021,4,0.59656701
UTE2 ,2021,5,0.62945593
UTE2 ,2021,6,0.67085487
UTE2 ,2021,7,0.78108547
UTE2 ,2021,8,0.41092219
UTE2 ,2021,9,0.57049738
UTE3 ,2020,10,0.79848829
UTE3 ,2020,11,0.62552313
UTE3 ,2020,12,0.97390032
UTE3 ,2021,1,0.99835892
UTE3 ,2021,2,0.87925085
UTE3 ,2021,3,0.71485168
UTE3 ,2021,4,0.65628504
UTE3 ,2021,5,0.64851727
UTE3 ,2021,6,0.73989049
UTE3 ,2021,7,0.80513055
UTE3 ,2021,8,0.66523191
UTE3 ,2021,9,0.71360478
UTE4 ,2020,10,0.84302562
UTE4 ,2020,11,0.6371214
UTE4 ,2020,12,0.94326663
UTE4 ,2021,1,0.93599418
UTE4 ,2021,2,0.93483884
UTE4 ,2021,3,0.75708371
UTE4 ,2021,4,0.71446375
UTE4 ,2021,5,0.78480979
UTE4 ,2021,6,0.82236905
UTE4 ,2021,7,0.81448953
UTE4 ,2021,8,0.72827481
UTE4 ,2021,9,0.75880378